SE206,SE132,SE011,SE480,SE460,SE281,SE270,SE470,SE605,SE455,SE475,SE256,SE336,SE600,SE420,SE131,SE135,YEAR,SE375,SE136,SE380,SE025,CNTR_ID,SE446,COUNTRY,SE370,SE360,TF14,SE450,SE080,SE207,SE441
10552.0,1.2900052326,2989.58,32830.0,10215.0,36498.0,91905.0,8955.0,16276.0,57415.0,5929.0,5921.0,21416.0,16372.0,41173.0,118557.0,102084.0,2004,12997.0,1670.5627894000002,6277.0,63.08,BE,217656.0,(BEL) Belgium,1641.0,13076.0,(16) Specialist other fieldcrops,36315.0,13.76,767.11239117,321458.0
659.0,1.2059593173,7952.5,52688.0,377.0,55541.0,181173.0,361.0,2684.0,54865.0,28146.0,2377.0,52941.0,1062.0,37811.0,218487.0,215451.0,2004,2750.0,37275.55286,6896.0,5.9,BE,81485.0,(BEL) Belgium,34300.0,28743.0,(20) Specialist horticulture,124313.0,0.65,1018.0647642000001,261039.0
519.0,1.2994822995,8765.47,66645.0,250.0,25891.0,145517.0,73.0,3658.0,52429.0,450.0,6720.0,32747.0,4643.0,46849.0,189097.0,181857.0,2004,7360.0,10716.952469,5314.0,17.52,BE,238509.0,(BEL) Belgium,42011.0,32194.0,(36) Specialist orchards - fruits,109106.0,0.37,1395.4829354,400293.0
107596.0,1.321414595,4592.85,7919.0,60990.0,37855.0,91735.0,22638.0,12592.0,44811.0,906.0,2594.0,21400.0,13447.0,41497.0,121220.0,11030.0,2004,6750.0,264.45657789,6839.0,42.06,BE,183913.0,(BEL) Belgium,866.0,18025.0,(45) Specialist milk,67047.0,80.83,1331.2115134,356703.0
91420.0,1.1535492388,4506.82,7284.0,95950.0,46224.0,92781.0,76208.0,30953.0,41023.0,1864.0,1913.0,19345.0,31036.0,43535.0,107028.0,13695.0,2004,6582.0,247.50196659,6464.0,55.6,BE,140118.0,(BEL) Belgium,276.0,13891.0,(49) Specialist cattle,60085.0,112.38,813.46824673,337105.0
288786.0,1.2170388623000001,4124.35,7293.0,34334.0,189393.0,255780.0,64073.0,6775.0,33210.0,3182.0,1492.0,26393.0,6450.0,60622.0,311294.0,21016.0,2004,3953.0,1066.7810545,9582.0,20.17,BE,125749.0,(BEL) Belgium,741.0,25718.0,(50) Specialist granivores,133325.0,324.27,890.58214013,326591.0
178033.0,1.2207584579000001,4651.5,11572.0,60696.0,100111.0,163141.0,45363.0,12604.0,44772.0,1421.0,2074.0,25045.0,13133.0,46835.0,199156.0,19049.0,2004,6814.0,509.87507452,8388.0,37.59,BE,219042.0,(BEL) Belgium,327.0,22456.0,(70) Mixed livestock,94605.0,187.42,949.92112834,418914.0
73819.0,1.2316954108,5240.02,30543.0,51799.0,66059.0,137568.0,43070.0,22489.0,64690.0,4385.0,4393.0,26972.0,23200.0,53057.0,169442.0,91230.0,2004,11752.0,1585.410436,8651.0,58.38,BE,206206.0,(BEL) Belgium,4812.0,19323.0,(80) Mixed crops and livestock,73152.0,83.5,884.09454051,395661.0
231.0,0.4667476553,2656.34,12089.0,139.0,6101.0,26804.0,91.0,6083.0,33528.0,54.0,0.0,4872.0,5966.0,-8327.0,12511.0,12279.0,2004,5255.0,388.78010145,670.0,33.84,CY,76864.0,(CYP) Cyprus,1146.0,8761.0,(15) Specialist COP,1551.0,0.17,1356.5036750999998,112083.0
2.0,0.9293095001,4493.2,21113.0,0.0,7313.0,29118.0,0.0,5743.0,23014.0,253.0,17.0,7403.0,5703.0,3644.0,27060.0,27041.0,2004,1953.0,1932.3704909000003,752.0,14.9,CY,85093.0,(CYP) Cyprus,5903.0,5794.0,(16) Specialist other fieldcrops,6416.0,0.01,172.00518446,114523.0
121.0,1.0294703539,2354.36,4792.0,19.0,1686.0,8632.0,34.0,2904.0,10907.0,812.0,3.0,3037.0,2841.0,3096.0,8887.0,8763.0,2004,59.0,4181.1031186,127.0,2.24,CY,52721.0,(CYP) Cyprus,508.0,3216.0,(36) Specialist orchards - fruits,2076.0,0.05,2622.9113365,65723.0
41685.0,1.1338738348000001,3950.55,34485.0,25401.0,26237.0,43794.0,8790.0,10290.0,20142.0,1506.0,28.0,6298.0,9965.0,15824.0,49657.0,7944.0,2004,2046.0,431.86863713,996.0,18.47,CY,62765.0,(CYP) Cyprus,2185.0,6032.0,(48) Specialist sheep and goats,19197.0,29.79,1399.4019231,127505.0
405303.0,1.0221193801000001,11985.59,351354.0,25266.0,290838.0,399341.0,98067.0,822.0,90209.0,24.0,0.0,31100.0,872.0,9706.0,408174.0,2872.0,2004,908.0,644.90898951,8818.0,4.8,CY,34787.0,(CYP) Cyprus,33195.0,34482.0,(50) Specialist granivores,259838.0,529.13,765.97423683,410101.0
103.0,0.98658547,3618.6,13489.0,73.0,4173.0,19429.0,18.0,3260.0,21773.0,90.0,32.0,4596.0,3237.0,2976.0,19168.0,19033.0,2004,541.0,2589.3377914000002,437.0,8.05,CY,82768.0,(CYP) Cyprus,4382.0,5299.0,(60) Mixed crops,8559.0,0.1,1059.0630712000002,113173.0
4440.0,1.03899529,5957.44,42664.0,1251.0,32610.0,91383.0,2100.0,18691.0,98623.0,11875.0,7655.0,30780.0,16729.0,20392.0,94947.0,82853.0,2004,4687.0,537.55182614,1085.0,155.29,CZ,43624.0,(CZE) Czech Republic,10877.0,11345.0,(15) Specialist COP,65851.0,7.14,620.96496455,209349.0
18034.0,1.044134849,12761.91,105943.0,4967.0,78810.0,211281.0,6131.0,25715.0,183064.0,23854.0,16685.0,69809.0,21918.0,31893.0,220606.0,185887.0,2004,7869.0,894.33409932,2498.0,209.9,CZ,57937.0,(CZE) Czech Republic,32408.0,19887.0,(16) Specialist other fieldcrops,130550.0,25.39,710.32430658,376518.0
134494.0,0.9302508665000001,20131.29,66484.0,58386.0,98052.0,241220.0,26174.0,43909.0,135304.0,28417.0,18137.0,64957.0,41467.0,24973.0,224395.0,71764.0,2004,3197.0,308.50765681,2406.0,233.72,CZ,30261.0,(CZE) Czech Republic,53301.0,19307.0,(45) Specialist milk,218599.0,138.5,971.05718033,442518.0
33570.0,0.7882086390999999,8905.4,39063.0,31799.0,35016.0,91485.0,17534.0,37808.0,64734.0,12093.0,9600.0,30502.0,36861.0,17497.0,72109.0,28940.0,2004,1905.0,166.53123047,1216.0,173.96,CZ,26991.0,(CZE) Czech Republic,15860.0,6987.0,(49) Specialist cattle,80720.0,82.65,406.17680267,204244.0
716657.0,0.9916624759,29988.62,179925.0,38687.0,523980.0,783656.0,179148.0,14260.0,385521.0,8266.0,23188.0,110664.0,9133.0,3957.0,777122.0,37277.0,2004,4836.0,576.43962139,6221.0,64.39,CZ,55360.0,(CZE) Czech Republic,98412.0,39543.0,(50) Specialist granivores,707367.0,974.32,735.5472007999999,1186934.0
350169.0,0.9357862921,45551.07,185070.0,115085.0,295119.0,668310.0,85093.0,87129.0,350752.0,86624.0,37295.0,162732.0,80100.0,38667.0,625396.0,237931.0,2004,10411.0,445.6765926,8085.0,536.21,CZ,29714.0,(CZE) Czech Republic,145905.0,46059.0,(70) Mixed livestock,576421.0,397.45,881.03990751,1071972.0
158834.0,0.9604787237000001,29211.37,141773.0,55865.0,176949.0,420495.0,41799.0,56955.0,255617.0,62138.0,27435.0,108868.0,50314.0,34537.0,403876.0,217607.0,2004,10374.0,552.25555488,5064.0,396.3,CZ,39872.0,(CZE) Czech Republic,88721.0,30520.0,(80) Mixed crops and livestock,339606.0,190.14,835.34878607,690947.0
30787.0,0.8753016631999999,1596.77,80194.0,325.0,27939.0,100750.0,31426.0,22163.0,64215.0,22823.0,14555.0,24807.0,18877.0,6516.0,88186.0,42845.0,2004,7310.0,695.23201729,19304.0,67.26,DK,242122.0,(DAN) Denmark,5766.0,15623.0,(15) Specialist COP,443984.0,2.26,3180.6115429,750646.0
13348.0,0.8940516228000001,2024.12,136310.0,1135.0,34580.0,136136.0,13331.0,26921.0,86405.0,31305.0,21432.0,36297.0,22352.0,8161.0,121712.0,86932.0,2004,10191.0,1094.8649755000001,25317.0,85.18,DK,372395.0,(DAN) Denmark,9813.0,19938.0,(16) Specialist other fieldcrops,613325.0,6.01,520.33776899,1073260.0
249871.0,0.9364242501000001,4209.81,126474.0,62286.0,107901.0,294882.0,35996.0,35807.0,144712.0,7364.0,6538.0,64988.0,31728.0,13374.0,276135.0,19726.0,2004,13127.0,215.29703188,50097.0,97.38,DK,501207.0,(DAN) Denmark,21498.0,37271.0,(45) Specialist milk,720509.0,154.31,1619.311835,1428714.0
27528.0,0.5745900158,1440.02,81929.0,13916.0,26926.0,72858.0,22752.0,31671.0,29357.0,2668.0,5304.0,20463.0,30262.0,-727.0,41864.0,9031.0,2004,3050.0,235.92982696,12048.0,39.96,DK,123512.0,(DAN) Denmark,1100.0,9272.0,(49) Specialist cattle,270042.0,47.07,584.80141371,436828.0
459101.0,0.9596034002,5215.7,174761.0,76556.0,295952.0,573184.0,118943.0,38776.0,234476.0,28775.0,14818.0,77947.0,32109.0,9429.0,550029.0,76110.0,2004,18048.0,730.5173407000001,65513.0,113.01,DK,380175.0,(DAN) Denmark,48063.0,67661.0,(50) Specialist granivores,1105255.0,490.38,936.22344446,1796462.0
34694.0,0.8532797995,5027.63,171090.0,862.0,69964.0,271762.0,25511.0,30632.0,160431.0,53764.0,20124.0,62904.0,24894.0,-14625.0,231889.0,177071.0,2004,10714.0,1817.0191097,45081.0,102.01,DK,487248.0,(DAN) Denmark,49816.0,33284.0,(60) Mixed crops,648488.0,6.41,1744.2648809,1297029.0
154324.0,0.8379360245999999,2847.91,75699.0,23772.0,108558.0,241607.0,53715.0,29949.0,104630.0,10563.0,10522.0,44479.0,26503.0,-12166.0,202452.0,37606.0,2004,8400.0,514.94077767,35094.0,77.71,DK,278193.0,(DAN) Denmark,13847.0,31229.0,(70) Mixed livestock,597676.0,172.85,892.83895084,1004270.0
69087.0,0.8352756987000001,2109.29,83203.0,6305.0,60584.0,152340.0,37797.0,28864.0,74649.0,19143.0,10929.0,31852.0,25694.0,743.0,127246.0,47230.0,2004,8561.0,722.99011656,23090.0,70.47,DK,232445.0,(DAN) Denmark,8105.0,20149.0,(80) Mixed crops and livestock,466077.0,83.13,831.10685875,779476.0
7417.0,0.8616098944,4347.35,87624.0,2211.0,50618.0,182964.0,3127.0,62708.0,88940.0,3979.0,23276.0,57814.0,59537.0,33398.0,157644.0,126950.0,2004,24208.0,789.96623932,5948.0,171.23,DE,629166.0,(DEU) Germany,18112.0,26266.0,(15) Specialist COP,63347.0,7.98,920.58330722,783660.0
13382.0,1.0556393827,5177.14,89051.0,3961.0,46248.0,165633.0,5026.0,29843.0,79577.0,3204.0,29688.0,53129.0,29399.0,36746.0,174849.0,131779.0,2004,17501.0,1478.3577609000001,5140.0,95.19,DE,716613.0,(DEU) Germany,19614.0,24002.0,(16) Specialist other fieldcrops,59137.0,14.06,951.26442548,859288.0
52.0,1.1186970654000001,9636.07,61564.0,15.0,55753.0,224287.0,51.0,2136.0,65332.0,2849.0,42740.0,81696.0,2808.0,28336.0,250909.0,208117.0,2004,2995.0,41031.850048,7532.0,5.21,DE,116010.0,(DEU) Germany,54471.0,21840.0,(20) Specialist horticulture,66468.0,0.12,450.87768733,247824.0
31.0,1.3634137046,5211.03,56209.0,18.0,19883.0,80299.0,24.0,2342.0,46179.0,30351.0,8620.0,28886.0,8449.0,35607.0,109480.0,100830.0,2004,4598.0,9772.547612100001,3518.0,10.63,DE,298600.0,(DEU) Germany,8820.0,14594.0,(35) Specialist wine,57560.0,0.07,463.19407062,402357.0
960.0,1.0651006529,7543.36,42516.0,54.0,20851.0,118137.0,598.0,6911.0,53258.0,3604.0,20586.0,37958.0,7754.0,13486.0,125828.0,104282.0,2004,3618.0,4881.132524600001,5622.0,22.16,DE,409313.0,(DEU) Germany,26679.0,23409.0,(36) Specialist orchards - fruits,80632.0,0.86,1106.4963818,543257.0
672.0,1.4181565966999998,3894.47,54822.0,399.0,7768.0,45489.0,184.0,2673.0,25150.0,3512.0,9101.0,20099.0,4372.0,22670.0,64511.0,54738.0,2004,1639.0,5627.0146295,1188.0,9.87,DE,203846.0,(DEU) Germany,5397.0,9398.0,(38) Permanent crops combined,41143.0,0.67,991.85189889,270539.0
104744.0,1.0600175356000001,3987.46,39577.0,47300.0,39925.0,118505.0,23262.0,21799.0,71210.0,1982.0,9987.0,38473.0,22571.0,28423.0,125617.0,10887.0,2004,8537.0,198.18548596,4397.0,56.82,DE,363086.0,(DEU) Germany,6586.0,20587.0,(45) Specialist milk,85329.0,77.65,1348.8670078,566659.0
35670.0,0.6225389677000001,4038.25,22967.0,5406.0,15524.0,69284.0,33375.0,45231.0,36840.0,270.0,4879.0,26652.0,44430.0,17673.0,43132.0,2583.0,2004,4966.0,19.697251927,2741.0,132.04,DE,112543.0,(DEU) Germany,6682.0,12718.0,(48) Specialist sheep and goats,56923.0,85.15,418.92379307,211712.0
62517.0,0.9024465570999999,3593.49,32723.0,24111.0,29520.0,91745.0,46248.0,31104.0,48562.0,1280.0,9794.0,32605.0,30269.0,20244.0,82795.0,10483.0,2004,6882.0,182.47863973,3568.0,59.04,DE,441347.0,(DEU) Germany,4303.0,14866.0,(49) Specialist cattle,60123.0,73.88,846.20134196,573954.0
196285.0,1.0916249643,4212.01,64168.0,32763.0,117384.0,227860.0,51692.0,22886.0,91227.0,2122.0,13128.0,53472.0,24830.0,43695.0,248738.0,39324.0,2004,11310.0,704.13591655,6991.0,59.44,DE,408826.0,(DEU) Germany,10719.0,27985.0,(50) Specialist granivores,119501.0,230.76,850.60752187,652310.0
5562.0,1.0698266518000001,6128.16,100503.0,1638.0,26835.0,125933.0,1916.0,18564.0,65976.0,6555.0,21318.0,45419.0,20093.0,26676.0,134726.0,107847.0,2004,12595.0,2037.69037,3461.0,56.97,DE,385963.0,(DEU) Germany,17705.0,19918.0,(60) Mixed crops,57438.0,5.74,968.52028576,510981.0
141168.0,0.9822007972,4819.92,62878.0,33850.0,85970.0,198613.0,55973.0,33587.0,76678.0,5688.0,21568.0,57192.0,33612.0,28574.0,195078.0,32342.0,2004,11440.0,453.24240934,5304.0,75.82,DE,393341.0,(DEU) Germany,14817.0,23889.0,(70) Mixed livestock,93361.0,159.01,887.7698711000002,597015.0
103462.0,0.9054625948,6453.94,114428.0,31883.0,84287.0,246780.0,30560.0,53819.0,97388.0,9950.0,24462.0,70753.0,52020.0,27791.0,223450.0,95526.0,2004,18891.0,730.73462213,6760.0,139.59,DE,478359.0,(DEU) Germany,34378.0,31712.0,(80) Mixed crops and livestock,106529.0,103.06,1003.9018693,714027.0
395.0,0.8373062094,1639.4,2681.0,305.0,5712.0,16133.0,76.0,8551.0,16763.0,404.0,197.0,3736.0,8424.0,6003.0,13509.0,12917.0,2004,2953.0,680.9286182999999,35.0,20.46,EL,38488.0,(ELL) Greece,365.0,3332.0,(15) Specialist COP,5733.0,0.49,798.86770995,61289.0
386.0,1.3039831907,2813.19,2120.0,276.0,4801.0,16243.0,51.0,5351.0,16183.0,1451.0,213.0,4680.0,5293.0,10286.0,21180.0,20581.0,2004,2323.0,1998.4191741,71.0,10.55,EL,53002.0,(ELL) Greece,1115.0,3253.0,(16) Specialist other fieldcrops,4294.0,0.45,850.8684752,73756.0
1099.0,1.8004837775,5154.96,4522.0,189.0,9076.0,26637.0,153.0,1209.0,13127.0,213.0,367.0,5883.0,1128.0,22670.0,47960.0,46494.0,2004,579.0,16870.783413,186.0,2.77,EL,48564.0,(ELL) Greece,5414.0,5500.0,(20) Specialist horticulture,24551.0,0.51,2136.4265496,86431.0
193.0,1.9661285998,2582.29,1356.0,88.0,2671.0,8700.0,52.0,1315.0,9984.0,166.0,656.0,1802.0,1278.0,9942.0,17106.0,16258.0,2004,223.0,4498.9364033,15.0,3.71,EL,61174.0,(ELL) Greece,1173.0,2816.0,(36) Specialist orchards - fruits,2575.0,0.21,936.87750209,73821.0
